Año,Mes,Evento,Categoria,Impacto,Descripcion_Detallada,Streams_Acumulados_M
2010,7,Audición The X Factor,Origen,Alto,"Harry Styles, Niall Horan, Liam Payne, Louis Tomlinson y Zayn Malik se presentan individualmente",0
2010,9,Formación del grupo,Origen,Muy Alto,"Simon Cowell une a los cinco como grupo en la casa de The X Factor",0
2010,12,3er lugar en X Factor,Reconocimiento,Alto,"El grupo termina en tercer lugar pero conquista a la audiencia",10
2011,1,Firma con Syco/Columbia Records,Discografía,Muy Alto,"Contrato discográfico multimillonario con Simon Cowell",50
2011,9,What Makes You Beautiful - 1er Single,Éxito Musical,Muy Alto,"#1 en UK y top 5 en 32 países - primer single oficial",200
2011,11,Up All Night - 1er Álbum,Éxito Musical,Muy Alto,"Debut con 4.5 millones de copias vendidas mundialmente",800
2012,1,Gira Up All Night Tour,Giras,Alto,"Primera gira mundial con 63 conciertos en 3 continentes",1200
2012,3,Debut en Billboard Hot 100 #1,Reconocimiento,Muy Alto,"Primer grupo británico en debutar #1 en Billboard con su primer álbum",1500
2012,9,Live While We're Young - Single,Éxito Musical,Alto,"#1 en UK, #3 Billboard Hot 100",1800
2012,11,Take Me Home - 2do Álbum,Éxito Musical,Muy Alto,"5.1M copias - álbum más vendido del año en UK",2500
2013,2,Grammy Nominations,Reconocimiento,Alto,"Nominados al Grammy por primera vez",3000
2013,4,Take Me Home Tour,Giras,Muy Alto,"Gira de 123 shows, recauda $114.4M",3800
2013,8,Best Song Ever - Single,Éxito Musical,Alto,"Parte de la película This Is Us, #2 UK, #2 US",4500
2013,11,Midnight Memories - 3er Álbum,Éxito Musical,Alto,"4M copias, álbum de rock más vendido del año",5500
2014,3,4 años de carrera - 50M seguidores Twitter,Hito Digital,Alto,"Primer artista en alcanzar 50M seguidores en Twitter",6500
2014,9,Steal My Girl - Single,Éxito Musical,Medio,"#1 en UK, primer #1 en 18 meses",7200
2014,11,Four - 4to Álbum,Éxito Musical,Alto,"3.2M copias, más rockero y maduro",8000
2015,3,Zayn Malik deja el grupo,Cambio,Muy Alto,"Gran impacto mediático mundial, continúan como cuarteto",8500
2015,7,Drag Me Down - 1er Single sin Zayn,Éxito Musical,Alto,"#1 en 84 países en Spotify, récord histórico",9500
2015,11,Made in the A.M. - 5to Álbum,Éxito Musical,Alto,"Álbum más streameado de su catálogo",10500
2016,1,Hiatus anunciado,Pausa,Muy Alto,"El grupo anuncia pausa indefinida después de 6 años",11000
2023,10,Regreso con "What Makes You Beautiful" remaster,Regreso,Alto,"Celebración 12 aniversario, nuevo hito de streaming",15000
2024,10,Liam Payne fallece,Tragedia,Muy Alto,"El mundo llora la pérdida, streams del catálogo aumentan exponencialmente",18000
